iter	TotalF1	Logloss
0	0.80558936	0.6102760233
1	0.82029513	0.5467694493
2	0.8255497179	0.4937520316
3	0.8381166971	0.4549810509
4	0.8323353839	0.4246254625
5	0.8269945384	0.4094213562
6	0.8336821567	0.3952280788
7	0.8356664883	0.3817375545
8	0.8361170732	0.3707248359
9	0.833679019	0.3599192883
10	0.833679019	0.3525374711
11	0.8352235463	0.3442414293
12	0.8398129485	0.3371958534
13	0.8430089562	0.3295021054
14	0.8430089562	0.3245242321
15	0.8451274251	0.320778222
16	0.8504781792	0.3166116052
17	0.8507481318	0.3131841975
18	0.8532512333	0.3107298181
19	0.8549491414	0.3064262647
20	0.8538746906	0.3037611955
21	0.8574313199	0.2999761426
22	0.8572652406	0.297554271
23	0.8588296283	0.2955667676
24	0.8592834909	0.2929438768
25	0.8625085254	0.290278903
26	0.8643362919	0.2875249336
27	0.8650941615	0.2857177427
28	0.8659952598	0.2834931511
29	0.8653918046	0.2820914077
30	0.8664517116	0.280702126
31	0.8703742089	0.277715691
32	0.8705149129	0.2754557791
33	0.8718482707	0.272683794
34	0.8729030174	0.2710745586
35	0.8746857733	0.2691342933
36	0.8760010298	0.2670256225
37	0.8760010298	0.2651974861
38	0.878230303	0.2637636827
39	0.8784829637	0.2618410838
40	0.8803297806	0.2606634844
41	0.8825516376	0.258410872
42	0.8816256457	0.2570655388
43	0.8838404523	0.2553794852
44	0.8855858134	0.2537929121
45	0.8819887559	0.2531082853
46	0.8843113216	0.2518469096
47	0.8848901646	0.2499709916
48	0.8874380426	0.2485127151
49	0.8880153185	0.2466848139
50	0.8885918869	0.2458756673
51	0.8891677508	0.243798513
52	0.8896330842	0.2424091085
53	0.891357024	0.2411777858
54	0.8931793426	0.2397108374
55	0.8928171805	0.2387790319
56	0.8939551593	0.2375969122
57	0.8937496855	0.2358510723
58	0.8948883461	0.2345891575
59	0.8949897431	0.2338836966
60	0.896024327	0.2330813166
61	0.8988527142	0.2318198738
62	0.8988527142	0.2306550996
63	0.8977233268	0.2300218197
64	0.8981912438	0.2292104785
65	0.8981912438	0.2278369972
66	0.8980934946	0.226893091
67	0.9007276673	0.2248443091
68	0.9012920181	0.2241897082
69	0.9034513745	0.2230677005
70	0.9049550108	0.2213056052
71	0.9071974797	0.2198535435
72	0.9083149124	0.2187589967
73	0.9083149124	0.2181059241
74	0.9084006349	0.2176205188
75	0.9094298413	0.2169018451
76	0.9115705389	0.2156939427
77	0.9116522792	0.2143035322
78	0.9144166462	0.2120028659
79	0.9154415965	0.2112510657
80	0.9148125431	0.210405623
81	0.9147341764	0.2091715065
82	0.9150508112	0.2083127719
83	0.9152086842	0.206683719
84	0.9162364577	0.2050629153
85	0.9177400362	0.2037694225
86	0.9187682857	0.2024181269
87	0.9188433727	0.2015633831
88	0.9197965352	0.2005763731
89	0.9193197783	0.1996101769
90	0.9218530343	0.1983350187
91	0.9224030989	0.196817658
92	0.9228812839	0.1955431248
93	0.9250760921	0.1947429437
94	0.9251445607	0.1940011684
95	0.9267160503	0.1927312011
96	0.9271953947	0.1918193318
97	0.9271953947	0.1911434396
98	0.9271953947	0.190414751
99	0.926649211	0.1894443681
