iter	Passed	Remaining
0	3	383
1	9	442
2	21	679
3	29	705
4	39	752
5	63	991
6	77	1036
7	88	1015
8	100	1017
9	109	987
10	117	952
11	121	890
12	130	874
13	140	861
14	149	849
15	153	806
16	158	776
17	162	740
18	174	744
19	179	717
20	183	689
21	195	694
22	199	667
23	203	642
24	211	633
25	219	624
26	224	606
27	232	597
28	240	589
29	245	572
30	249	554
31	261	555
32	267	543
33	271	526
34	282	525
35	286	509
36	292	498
37	296	484
38	305	478
39	316	474
40	320	461
41	324	448
42	328	435
43	336	428
44	340	416
45	344	404
46	350	395
47	358	388
48	366	381
49	370	370
50	374	359
51	383	353
52	393	349
53	403	343
54	412	337
55	416	327
56	427	322
57	436	315
58	439	305
59	449	299
60	458	293
61	462	283
62	472	277
63	481	270
64	485	261
65	497	256
66	500	246
67	509	239
68	517	232
69	521	223
70	530	216
71	541	210
72	544	201
73	553	194
74	567	189
75	582	184
76	590	176
77	602	169
78	619	164
79	634	158
80	645	151
81	660	144
82	670	137
83	678	129
84	685	120
85	704	114
86	715	106
87	723	98
88	733	90
89	747	83
90	754	74
91	768	66
92	776	58
93	783	49
94	797	41
95	812	33
96	819	25
97	829	16
98	846	8
99	866	0
